Geneid	HCO118C	HCO118OE	HCO80C	HCO80OE	HCO83C	HCO83OE	HCO88C	HCO88OE	HCO89C	HCO89OE
DDX11L1	0	0	0	0	0	0	0	0	0	0
WASH7P	43	40	48	41	151	133	120	87	50	109
MIR6859-1	0	0	0	0	25	10	4	14	2	14
MIR1302-2HG	0	0	0	0	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0
OR4G4P	0	0	0	0	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0
AL627309.1	0	1	0	0	0	0	0	0	1	0
AL627309.3	0	0	0	0	0	0	0	0	0	0
CICP27	3	0	0	5	0	0	0	1	0	0
AL627309.6	29	17	2	4	4	3	3	1	3	0
AL627309.7	28	29	8	5	2	3	0	1	0	4
AL627309.2	0	0	0	0	0	0	0	0	0	0
AL627309.5	3	5	2	0	0	2	1	0	3	0
RNU6-1100P	0	0	0	0	0	0	0	0	0	0
AL627309.4	0	0	0	0	0	0	0	0	0	0
FO538757.2	0	0	0	0	2	0	0	0	0	0
FO538757.1	40	36	40	32	90	60	126	138	63	94
MIR6859-2	0	0	0	0	2	0	0	0	0	0
AP006222.1	0	0	1	1	0	1	1	1	0	0
RPL23AP24	1	0	0	0	1	0	0	0	0	2
AL732372.1	0	0	0	0	0	0	0	0	0	0
AL732372.2	6	4	3	2	3	7	3	0	3	3
WBP1LP7	0	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0	0
CICP7	0	0	0	0	0	0	0	0	0	1
AL732372.3	0	0	0	0	0	0	0	0	0	1
RF00026	2	1	0	0	1	1	1	2	3	3
AL669831.3	2	1	3	2	5	3	6	0	4	2
AC114498.1	0	0	0	0	0	0	0	0	0	0
MTND1P23	1	3	2	2	1964	2266	11	9	1	1
MTND2P28	803	896	14	14	22	40	68	60	58	65
MTCO1P12	866	923	2045	1386	15099	17285	2803	2663	2850	2777
MIR6723	0	0	0	0	0	0	0	0	0	0
MTCO2P12	3	13	3	13	5	6	6	16	5	19
MTATP8P1	0	0	1	0	1	0	0	1	1	0
MTATP6P1	1427	2022	2077	1752	5458	8209	4524	4483	5846	5444
MTCO3P12	1	10	0	7	9	14	24	19	13	13
WBP1LP6	0	0	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0	0	0
CICP3	0	0	0	0	0	1	0	0	0	0
AL669831.1	22	13	12	18	19	14	21	6	16	19
RNU6-1199P	0	0	0	0	0	0	0	0	0	0
