gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
Xkr4,27.89807338657785,-0.04980195423575477,0.2650688977960283,0.5111098346858305,0.7405586820411616
Mrpl15,871.6161024393917,0.14433999183835253,0.176430555115104,0.2933180715957727,0.5665231744228776
Lypla1,2304.2010543739675,-0.32734040972624084,0.19893070464756182,0.03353522526360515,0.17913885838046287
Tcea1,1456.565497319634,0.12145396952228986,0.17717295639908304,0.3750897194870478,0.6365021259647036
Rgs20,11.37239213105122,0.025868936621887575,0.2625219437288597,0.7115574823703514,0.8651284401234488
Atp6v1h,1619.9088448869766,-0.11096868901318223,0.14979821995351614,0.37806359398201006,0.638691309575733
Rb1cc1,1446.4734744618306,-0.06498059090809816,0.13948995391225283,0.583539183843605,0.7906136122175188
Pcmtd1,1511.326086943275,-0.0578623089720752,0.18780869669809772,0.6702342421914582,0.8428799362615764
Sntg1,5.580512568243729,-0.04122661351436678,0.270184611101936,0.4190550618197502,NA
Rrs1,990.9645887096553,0.43727914762077585,0.3089438696240956,0.025108991323380396,0.15142555926054746
Adhfe1,68.99242904790677,-0.047141976079526034,0.23330322023831798,0.6995187033864819,0.8583590873773431
Mybl1,90.54589064086642,0.16639027597957623,0.2614829530946431,0.24439867447381025,0.5169988570641425
Vcpip1,1313.211747544508,-0.027137204618218915,0.1372518801632521,0.8184260157959319,0.9230271563986138
Sgk3,109.68639987275611,-0.04322494282815587,0.239493050941206,0.7076704374016727,0.8629049299596145
Tcf24,363.3127482967823,0.02018405071305371,0.21569054815356745,0.8763970144032015,0.9495292478433093
Cops5,1660.7085515508732,0.09077634530706293,0.16830052493738307,0.4951123506891864,0.7291167363882705
Cspp1,398.80540259325386,0.30568084120851347,0.2593638982531216,0.07048486350993066,0.263923227857839
Arfgef1,9474.778534429533,-0.004288338042135545,0.15488208664109682,0.9538224761056966,0.9801879012328348
Prex2,181.00073267577625,1.0981245335036676,0.39592834723351156,3.0895835252337444e-4,0.008146564841535937
Slco5a1,26.37489299972476,2.108431985638047,0.8283119209185936,3.994468898378243e-4,0.009806954933296919
