,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
mmu00140,mmu00140,Steroid hormone biosynthesis,45,0.818639948,2.643940044,0.001655629,0.0232429,0.017786017,1862,"tags=76%, list=15%, signal=65%",Cyp2c29/Ugt2b36/Cyp2c68/Cyp3a13/Hsd17b2/Ugt2b5/Hsd3b3/Cyp2c55/Cyp2d26/Cyp2c66/Hsd3b2/Sult2b1/Cyp2c65/Cyp2b10/Ugt2b34/Dhrs11/Ugt1a1/Cyp3a11/Cyp3a25/Ugt2b35/Cyp1a1/Ugt1a7c/Srd5a3/Comt/Cyp2c70/Cyp2c23/Cyp3a44/Cyp2d12/Srd5a1/Cyp2d9/Ugt2b1/Akr1c18/Srd5a2/Cyp2b9
mmu00830,mmu00830,Retinol metabolism,47,0.785814912,2.549337711,0.001652893,0.0232429,0.017786017,969,"tags=60%, list=8%, signal=55%",Cyp2c29/Ugt2b36/Cyp2c68/Cyp3a13/Rdh7/Ugt2b5/Cyp2c55/Cyp2c66/Cyp2c65/Cyp2b10/Ugt2b34/Aldh1a7/Adh1/Bco1/Dgat1/Ugt1a1/Cyp3a11/Lrat/Rdh5/Cyp3a25/Ugt2b35/Cyp1a1/Dhrs4/Aldh1a1/Ugt1a7c/Cyp26b1/Rdh9/Retsat
mmu04975,mmu04975,Fat digestion and absorption,29,0.804249468,2.399655446,0.001697793,0.0232429,0.017786017,841,"tags=62%, list=7%, signal=58%",Mttp/Apoa4/Npc1l1/Pnliprp2/Fabp2/Abcg5/Abcg8/Plpp1/Dgat1/Apoa1/Pla2g12b/Agpat2/Apob/Mogat2/Slc27a4/Pla2g2e/Abca1/Plpp2
mmu04146,mmu04146,Peroxisome,78,0.660903724,2.355917087,0.001526718,0.0232429,0.017786017,1841,"tags=51%, list=15%, signal=44%",Acaa1b/Pipox/Hao2/Ehhadh/Baat/Phyh/Nudt19/Pex11a/Acsl1/Acox2/Eci3/Dao/Scp2/Xdh/Crot/Slc27a2/Hsd17b4/Acox3/Ephx2/Pex1/Dhrs4/Nos2/Pxmp2/Acnat1/Crat/Gstk1/Amacr/Pex5/Pex2/Acox1/Nudt7/Cat/Nudt12/Acsl5/Decr2/Sod2/Pex7/Acaa1a/Pxmp4/Prdx5
mmu04974,mmu04974,Protein digestion and absorption,47,0.724219567,2.34951033,0.001652893,0.0232429,0.017786017,1033,"tags=36%, list=8%, signal=33%",Slc15a1/Slc3a1/Ace2/Mep1a/Dpp4/Slc7a9/Slc9a3/Xpnpep2/Mep1b/Mme/Slc16a10/Col4a1/Slc8a1/Slc6a19/Atp1b1/Col4a2/Slc36a1
mmu05204,mmu05204,Chemical carcinogenesis - DNA adducts,50,0.692719532,2.274393256,0.001636661,0.0232429,0.017786017,905,"tags=40%, list=7%, signal=37%",Cyp2c29/Ugt2b36/Cyp2c68/Cyp3a13/Ugt2b5/Cyp2c55/Cyp2c66/Cyp2c65/Ugt2b34/Gsta1/Gm3776/Ugt1a1/Cyp3a11/Mgst2/Cyp3a25/Ugt2b35/Cyp1a1/Mgst1/Ugt1a7c/Gstk1
mmu04976,mmu04976,Bile secretion,56,0.671787722,2.271498468,0.001589825,0.0232429,0.017786017,948,"tags=45%, list=8%, signal=41%",Abcc2/Slc51a/Ugt2b36/Abcg2/Ugt2b5/Slc51b/Slc9a3/Nr1h4/Ugt2b34/Baat/Abcg5/Abcb1a/Slc22a1/Abcg8/Ugt1a1/Slc5a1/Ugt2b35/Slc10a2/Rxra/Ugt1a7c/Aqp8/Atp1b1/Abcc3/Acnat1/Adcy9
mmu00983,mmu00983,Drug metabolism - other enzymes,71,0.641338346,2.24860381,0.001552795,0.0232429,0.017786017,792,"tags=30%, list=6%, signal=28%",Dpyd/Ces2b/Ces2a/Ugt2b36/Ces2e/Ugt2b5/Ces2c/Ces1d/Ugt2b34/Upp1/Gsta1/Gm3776/Ces1f/Ugt1a1/Xdh/Mgst2/Ugt2b35/Tymp/Ces1e/Mgst1/Ugt1a7c
mmu00591,mmu00591,Linoleic acid metabolism,25,0.775354173,2.241386868,0.001697793,0.0232429,0.017786017,584,"tags=48%, list=5%, signal=46%",Cyp2c29/Cyp2c68/Cyp3a13/Pla2g4c/Cyp2c55/Cyp2c66/Cyp2c65/Cyp3a11/Pla2g12b/Cyp3a25/Cyp2j6/Pla2g2e
mmu00590,mmu00590,Arachidonic acid metabolism,43,0.683572714,2.201775411,0.001650165,0.0232429,0.017786017,634,"tags=30%, list=5%, signal=29%",Cyp2c29/Ggt1/Cyp2c68/Pla2g4c/Cyp2c55/Cyp2c66/Cyp2c65/Cyp2b10/Gpx7/Pla2g12b/Cyp2j6/Pla2g2e/Ephx2
mmu03320,mmu03320,PPAR signaling pathway,58,0.621374243,2.117343418,0.001569859,0.0232429,0.017786017,1496,"tags=45%, list=12%, signal=40%",Apoc3/Acaa1b/Ppara/Aqp7/Ehhadh/Fabp2/Nr1h3/Apoa1/Acsl1/Acox2/Angptl4/Scp2/Sorbs1/Slc27a2/Slc27a4/Gk/Acox3/Rxra/Acox1/Cpt2/Olr1/Ilk/Lpl/Acadm/Acsl5/Me3
mmu04979,mmu04979,Cholesterol metabolism,41,0.660867168,2.112263667,0.001655629,0.0232429,0.017786017,1448,"tags=39%, list=12%, signal=35%",Apoc3/Apoa4/Abcg5/Abcg8/Apoa1/Cideb/Angptl4/Pcsk9/Apob/Lipa/Abca1/Apoh/Mylip/Sort1/Lpl/Soat2
mmu00190,mmu00190,Oxidative phosphorylation,112,0.537363396,2.030978944,0.00147929,0.0232429,0.017786017,3265,"tags=55%, list=26%, signal=41%",Atp6v0a2/Lhpp/Atp6v0e2/Cox7a1/ND4/CYTB/ND1/ATP6/ND3/Ndufb9/Atp5j2/COX3/Ndufb2/Ndufa11/Uqcrfs1/Uqcrq/Ndufb7/ND6/Ndufa2/Cox5b/Ndufa5/Atp6v1d/Ppa1/ND2/Atp5c1/Cycs/Ndufs6/Ndufs8/Sdhb/Atp6v1e1/Atp5g3/Atp6v1b2/Uqcrc1/ND4L/Atp6v0e/ND5/Cox15/Atp5a1/Atp6v0a1/Cox4i1/Ndufab1/Uqcrh/Ndufa10/Ndufb4/Cox5a/Uqcr11/Ndufc1/Ndufv2/Ndufa8/Atp5o/Atp5g1/Ndufa1/Ndufb5/COX2/Ndufs1/Ndufa12/Ndufs2/Cox6c/Cox7a2/Ndufb6/Atp6v1c1/Atp5h
