,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment
mmu03008,mmu03008,Ribosome biogenesis in eukaryotes,71,0.680915721,2.778859829,0.002207506,0.009398255,0.005638615,2081,"tags=66%, list=17%, signal=56%",Gnl3/Dkc1/Gar1/Nop56/Wdr75/Tcof1/Wdr3/Wdr43/Nob1/Mdn1/Mphosph10/Utp14a/Rbm28/Fbl/Nop58/Bms1/Pwp2/Nat10/Pop1/Gtpbp4/Heatr1/Pop4/Rcl1/Tbl3/Utp4/Utp18/Lsg1/Rexo5/Rpp30/Riok2/Rpp38/Ran/Gnl2/Nvl/Utp15/Rpp40/Snu13/Rexo2/Nxt1/Spata5/Nxf1/Riok1/Nhp2/Wdr36/Imp4/Nmd3/Pop5
mmu03040,mmu03040,Spliceosome,126,0.596361052,2.642496037,0.002304147,0.009398255,0.005638615,3906,"tags=71%, list=31%, signal=49%",Acin1/Fus/Tcerg1/Srsf2/Rbm25/Rbmx/Prpf19/Srsf7/Srsf6/Srsf3/U2af1/Snrnp70/Snrpa1/Snrpf/Srsf5/Hnrnpa3/Alyref/Hnrnpu/Snrpd1/Hnrnpa1/Ddx46/Hspa2/Sf3b3/Hnrnpm/Ddx23/Srsf1/Lsm5/Thoc1/Usp39/Thoc3/Prpf31/Snrpg/U2surp/Lsm7/Prpf3/Snrpa/Prpf38b/Ncbp2/Snu13/Ddx39b/Lsm2/Ppie/Srsf10/Dhx15/Magohb/Ppil1/U2af2/Sf3a2/Sf3a3/Prpf4/Snrpb/Thoc2/Eftud2/Ppih/Lsm6/Snrpd3/Tra2b/Prpf40b/Sf3b4/Ctnnbl1/Lsm4/Isy1/Ddx5/Cherp/Eif4a3/Aqr/Snrpd2/Rbm17/Sf3b5/Bcas2/Sart1/Ncbp1/Plrg1/Hnrnpk/Tra2a/Rbm22/Magoh/Rbm8a/Dhx16/Sf3b1/Snrpb2/Pqbp1/Prpf40a/Sf3a1/Hspa8/Srsf9/Cdc40/Phf5a/Snrpe
mmu03030,mmu03030,DNA replication,35,0.743265381,2.57610734,0.00203666,0.009398255,0.005638615,2694,"tags=86%, list=21%, signal=68%",Rfc4/Rpa3/Pola2/Pold1/Ssbp1/Pola1/Mcm3/Mcm5/Pole/Mcm6/Mcm7/Mcm4/Mcm2/Lig1/Pold2/Rnaseh2c/Prim2/Prim1/Pole2/Rnaseh2a/Rfc3/Dna2/Pole3/Rfc1/Rnaseh1/Rpa2/Fen1/Rnaseh2b/Rpa1/Rfc5
mmu03013,mmu03013,Nucleocytoplasmic transport,100,0.588682183,2.52698834,0.002252252,0.009398255,0.005638615,3162,"tags=59%, list=25%, signal=45%",Acin1/Upf3b/Nup54/Pnn/Nup107/Nup155/Nup85/Nup43/Tpr/Alyref/Nup205/Nup133/Nup188/Thoc1/Nup210/Thoc3/Ipo5/Xpo4/Ran/Rae1/Xpot/Gle1/Ipo4/Ipo7/Nup93/Cse1l/Ncbp2/Ddx39b/Nup35/Xpo5/Magohb/Nxt1/Nup160/Nxf1/Ahctf1/Ipo9/Nup153/Ube2i/Nmd3/Thoc2/Nup88/Rnps1/Rangap1/Ipo11/Nup37/Pom121/Xpo7/Kpnb1/Kpna2/Ndc1/Xpo1/Upf1/Eif4a3/Ddx19b/Ddx19a/Ncbp1/Tnpo3/Nup62/Nup210l
mmu04512,mmu04512,ECM-receptor interaction,49,0.606166258,2.290997412,0.002118644,0.009398255,0.005638615,1615,"tags=39%, list=13%, signal=34%",Spp1/Fn1/Thbs1/Itga5/Cd44/Hmmr/Itga2/Col4a4/Npnt/Lamb1/Col4a2/Col4a1/Col1a1/Itgb8/Hspg2/Lama5/Col4a3/Chad/Lamc2
mmu03460,mmu03460,Fanconi anemia pathway,49,0.605678385,2.289153506,0.002118644,0.009398255,0.005638615,3065,"tags=65%, list=24%, signal=50%",Blm/Telo2/Atr/Rpa3/Slx4/Fanca/Brca2/Eme1/Poli/Fan1/Pms2/Palb2/Ube2t/Cenps/Fance/Rev1/Top3b/Fanci/Mlh1/Rev3l/Faap24/Rpa2/Polk/Fancm/Fancb/Atrip/Rpa1/Polh/Brca1/Rmi2/Fancc/Top3a
mmu03440,mmu03440,Homologous recombination,38,0.627512269,2.236611456,0.00204499,0.009398255,0.005638615,3653,"tags=74%, list=29%, signal=52%",Blm/Xrcc2/Topbp1/Xrcc3/Abraxas1/Rpa3/Pold1/Ssbp1/Atm/Bard1/Mre11a/Pold2/Brca2/Eme1/Palb2/Top3b/Rad50/Uimc1/Rpa2/Rad54b/Rad54l/Rpa1/Brca1/Top3a/Rad52/Rad51c/Nbn/Pold3
mmu03430,mmu03430,Mismatch repair,22,0.674691939,2.094380014,0.001980198,0.009398255,0.005638615,3035,"tags=77%, list=24%, signal=59%",Rfc4/Msh2/Rpa3/Pold1/Ssbp1/Lig1/Pold2/Msh6/Pms2/Rfc3/Rfc1/Mlh1/Rpa2/Exo1/Rpa1/Rfc5/Msh3
mmu03410,mmu03410,Base excision repair,32,0.612275901,2.08326219,0.00203666,0.009398255,0.005638615,3838,"tags=72%, list=31%, signal=50%",Ung/Parp1/Pold1/Apex1/Mbd4/Pole/Lig1/Neil3/Pold2/Nthl1/Pole2/Xrcc1/Mpg/Hmgb1/Pole3/Parp2/Fen1/Tdg/Lig3/Apex2/Smug1/Pold3/Mutyh
mmu04110,mmu04110,Cell cycle,119,0.464494031,2.036203966,0.002309469,0.009398255,0.005638615,2388,"tags=44%, list=19%, signal=36%",Plk1/Bub1b/Atr/Myc/Cdk2/Ccnb2/Ccnb1/Cdk1/Tgfb1/Ccnd1/Bub1/Ccna2/Mcm3/Atm/Espl1/Mcm5/Chek1/Dbf4/Mcm6/Hdac2/Mcm7/Cdc23/Ttk/Mcm4/Mad2l1/Mcm2/Skp2/Cdc20/Pkmyt1/Cdc25c/Orc1/Chek2/Cdc25b/Trp53/Cdk6/Tfdp1/E2f1/Cdc7/Ccnh/Ccne2/E2f4/Smc3/Anapc5/Cdc14b/Cdc45/Wee1/Cdk7/Orc6/Smc1a/Orc2/Mad1l1/Ywhaq
mmu03420,mmu03420,Nucleotide excision repair,43,0.550236418,2.016272384,0.002118644,0.009398255,0.005638615,4052,"tags=65%, list=32%, signal=44%",Rfc4/Rpa3/Pold1/Pole/Lig1/Pold2/Ercc2/Pole2/Rfc3/Ccnh/Pole3/Rfc1/Gtf2h4/Rpa2/Cdk7/Xpc/Rpa1/Rfc5/Gtf2h5/Ercc8/Ddb1/Gtf2h3/Pold3/Gtf2h1/Ercc6/Rad23b/Ddb2/Ercc1
mmu03020,mmu03020,RNA polymerase,30,0.541804199,1.837550957,0.003992016,0.015190398,0.009113693,3581,"tags=60%, list=29%, signal=43%",Cd3eap/Polr1b/Polr3e/Polr3h/Polr1a/Polr3d/Polr1e/Polr3k/Polr3b/Polr3g/Polr2h/Polr2b/Polr2d/Polr3f/Polr2e/Polr2l/Polr2c/Polr3a
