	H174CON1	H174CON2	HNF4AOE1	HNF4AOE2	HNF4GOE1	HNF4GOE2
Xkr4	23.2210272742422	41.9755744209396	29.6811325585341	28.9380556583812	36.5141194134811	7.05853099388895
Mrpl15	869.274107961847	741.227216603909	876.14306107969	869.254671892143	1018.83299046396	854.964566634799
Lypla1	2397.82346853587	1998.44686023595	2815.31038823725	3357.92745851293	1704.5859648147	1551.1121859071
Tcea1	1482.10730602554	1233.6723701764	1442.28318210358	1482.51885142168	1722.39773038226	1376.41354380834
Rgs20	11.1057086963767	6.14276698843019	12.0923132645879	16.6950321106045	15.140000732419	7.05853099388895
Atp6v1h	1688.06772184926	1581.76249952077	1661.04412207204	1844.24454715145	1524.68713258243	1419.64704614591
Rb1cc1	1435.66525147706	1438.43126979074	1529.12797736744	1571.55902267824	1303.82123954479	1400.23608591272
Pcmtd1	1620.42385978951	1621.69048494557	1310.36703739898	1507.00489851724	1210.30947031514	1798.16077069321
Sntg1	5.04804940744395	10.237944980717	3.29790361761489	7.79101498494879	5.34352967026553	1.76463274847224
Rrs1	893.504745117578	732.013066121264	988.271784078597	753.502449258619	1559.42007543916	1019.07541224272
Adhfe1	62.5958126523049	72.6894093630905	74.7524819992709	83.4751605530227	48.0917670323898	72.3499426873617
Mybl1	85.8168399265471	88.046326834166	76.9510844110142	55.6501070353485	132.697653478261	104.113332159862
Vcpip1	1361.96373012838	1323.76628600671	1303.77123016376	1271.04844468736	1330.53888789612	1288.18190638473
Sgk3	151.441482223318	85.9987378380226	112.128722998906	99.0571905229203	136.260006591771	73.2322590615978
Tcf24	424.036150225291	307.138349421509	357.27289190828	331.674637930677	483.589435159031	276.165025135905
Cops5	1687.05811196777	1475.28787172132	1655.54761604268	1661.71219607551	1940.59185858477	1544.05365491321
Cspp1	370.526826506386	327.614239382943	328.691060555618	378.42072784037	408.780019775313	578.799541498894
Arfgef1	9122.8348891327	10108.9468739599	9294.59169564465	9235.69176358643	8490.86864605193	10595.7373382015
Prex2	138.316553763964	89.0701213322377	173.689590527718	120.204231196353	289.441190472716	275.282708761669
Slco5a1	12.1153185778655	5.11897249035849	21.9860241174326	14.4690278291906	48.0917670323898	56.4682479511116
Ncoa2	1746.62509497561	1855.11563050592	1784.16585712966	1762.99539087984	1480.15771866355	1874.03997887752
Tram1	3065.17560019996	2818.50625319138	2859.28243647211	2863.75450803903	2960.3154373271	3159.57493613954
Lactb2	1136.82072655638	979.771334654615	1105.89701310686	1078.49907434505	949.367104750509	1089.66072218161
Xkr9	14.134538340843	17.4045064672189	29.6811325585341	47.8590920503997	13.3588241756638	6.17621461965283
Terf1	345.286579469166	321.471472394513	320.995952114516	242.634466674119	510.307083510358	449.099034486184
Rpl7	28197.3943801004	27820.5916906003	25556.5544341037	26961.3638564856	25581.2577081179	30440.7972275203
Rdh10	3658.82621051537	3572.01900377215	3026.3762197646	3170.94309887416	6027.50146805952	3250.45352268586
Stau2	596.679439959874	611.205315348804	535.359687259485	448.539862704909	584.225910615698	690.853721026881
Ube2w	752.159361709148	628.609821816022	724.439494669405	734.5814128666	700.892975083162	707.617732137367
