Geneid	A1	A3	A12	A13	A16	A17	A18	A19	A24	A25	A28	A29	A32	A33	A36	A37	A40	A41	A44	A45	A48	A49	A50	A51
4933401J01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xkr4	7	1	21	13	22	77	2	2	28	48	43	56	20	22	23	33	37	27	31	29	22	23	8	6
Gm18956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm1992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7341	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Gm19938	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	1	0	0	0	0	0	0	0
Gm10568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm27396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37381	0	1	0	0	0	0	0	0	0	3	0	4	0	0	1	0	1	0	2	0	2	0	0	1
Rp1	0	0	0	0	6	0	0	0	2	0	1	0	2	0	0	0	0	1	0	1	0	0	0	0
Gm6101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sox17	0	0	0	0	0	0	0	0	1	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0
Gm37587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7357	0	0	1	0	0	0	0	5	0	1	0	0	1	3	0	0	0	2	0	0	0	0	0	0
Gm22307	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6085	0	4	5	1	8	11	1	10	1	1	0	3	2	0	0	2	0	1	0	0	1	2	4	6
Gm6119	0	5	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	1	0
Gm25493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6123	0	6	1	0	1	0	3	4	3	5	7	2	0	2	2	6	11	3	5	2	4	5	10	4
Mrpl15	441	408	995	499	831	438	560	519	619	581	688	534	354	496	656	790	533	487	503	332	453	435	1074	1880
Gm37144	0	0	11	0	6	0	0	0	4	6	1	4	1	0	1	2	4	0	2	4	5	1	8	18
Lypla1	1731	631	777	1446	2389	3450	2391	1003	3318	3069	3507	3414	3011	3680	3042	3248	2971	3287	3031	2338	2842	3969	2824	3949
Gm37988	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	1
Tcea1	419	380	700	742	843	705	556	425	1069	1226	1053	1134	744	1065	1521	1450	925	916	1057	847	876	995	1180	2090
Gm6104	0	5	1	0	0	1	0	0	1	1	0	0	1	0	2	3	0	1	4	1	0	1	2	0
Gm37277	0	0	0	0	0	0	0	2	0	1	0	2	4	1	0	2	0	1	0	0	1	0	3	6
Rgs20	0	3	3	0	1	0	5	6	6	1	0	8	12	6	9	4	0	5	3	0	13	1	1	8
