Geneid	Ctrl_1	Ctrl_2	Satb2_KO1	Satb2_KO2	Mta2_KO1	Mta2_KO2	Chd4_KO1	Chd4_KO2	Gatad2_KO1	Gatad2_KO2	Smarcd2_KO1	Smarcd2_KO2	Smarca4_KO1	Smarca4_KO2	Smarca5_KO1	Smarca5_KO2	Ctbp2_KO1	Ctbp2_KO2
4933401J01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Xkr4	22	23	7	1	21	13	22	77	2	2	23	33	20	22	43	56	37	27
Gm18956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm1992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7341	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Gm38148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19938	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0
Gm10568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38385	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm27396	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37381	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	4	1	0
Rp1	0	0	0	0	0	0	6	0	0	0	0	0	2	0	1	0	0	1
Gm6101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sox17	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0
Gm37587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7357	0	0	0	0	1	0	0	0	0	5	0	0	1	3	0	0	0	2
Gm22307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
Gm38076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6085	1	2	0	4	5	1	8	11	1	10	0	2	2	0	0	3	0	1
Gm6119	0	1	0	5	0	0	0	0	0	0	0	0	0	0	2	2	0	0
Gm25493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6123	4	5	0	6	1	0	1	0	3	4	2	6	0	2	7	2	11	3
Mrpl15	453	435	441	408	995	499	831	438	560	519	656	790	354	496	688	534	533	487
Gm37144	5	1	0	0	11	0	6	0	0	0	1	2	1	0	1	4	4	0
Lypla1	2842	3969	1731	631	777	1446	2389	3450	2391	1003	3042	3248	3011	3680	3507	3414	2971	3287
Gm37988	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Tcea1	876	995	419	380	700	742	843	705	556	425	1521	1450	744	1065	1053	1134	925	916
Gm6104	0	1	0	5	1	0	0	1	0	0	2	3	1	0	0	0	0	1
Gm37277	1	0	0	0	0	0	0	0	0	2	0	2	4	1	0	2	0	1
Rgs20	13	1	0	3	3	0	1	0	5	6	9	4	12	6	0	8	0	5
Gm17100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v1h	1097	1261	878	859	1160	1059	1241	1679	1119	951	1234	1462	1204	1253	1322	1292	1224	1256
Gm7182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38264	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Oprk1	0	1	0	0	0	0	6	0	0	0	0	0	1	1	0	0	0	0
Gm36965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Npbwr1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0
Gm19214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rb1cc1	1402	1670	770	397	486	538	564	1499	601	732	1693	1528	1639	1823	1390	1357	1419	1378
4732440D04Rik	23	18	0	4	7	0	11	10	12	0	22	27	12	37	37	16	18	15
Alkal1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2147	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
Gm7417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19026	0	0	0	6	0	0	0	0	0	0	0	1	0	0	2	1	3	0
St18	4	7	2	0	0	11	0	0	0	0	2	3	14	1	6	1	3	4
Gm42492	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37108	0	0	0	0	5	8	4	5	4	0	0	1	2	1	0	2	0	0
Gm37275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pcmtd1	679	875	378	243	334	439	426	836	388	420	1215	1181	994	932	974	880	868	803
Gm26983	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
Gm38372	7	3	0	0	7	7	7	0	11	3	15	30	6	7	3	20	10	3
Gm9826	18	21	10	36	33	34	35	23	20	37	21	20	27	21	15	16	18	5
Nras-ps2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm19002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm26901	0	0	0	3	4	8	17	0	0	0	11	17	0	2	5	5	13	4
Gm18984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Gm30414	145	145	29	54	128	103	60	69	66	58	311	214	78	110	239	260	253	204
Gm37791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rps2-ps2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sntg1	11	31	7	7	6	0	9	48	0	20	11	3	27	33	13	15	20	34
Gm38024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm16284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm23358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15452	1	1	0	0	2	2	3	1	0	2	1	5	4	0	1	1	1	2
Gm36964	4	7	0	11	18	26	2	0	5	4	6	3	0	1	2	5	14	3
Gm24276	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0
Gm6152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7445	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Gm7493	1	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0
Gm37629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm6187	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Gm18299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm18300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rrs1	195	257	221	347	680	506	588	312	261	180	578	620	201	236	385	371	340	298
Adhfe1	32	32	14	21	56	65	83	10	77	34	46	33	39	59	20	26	29	26
2610203C22Rik	1	0	12	0	6	0	0	0	0	4	0	0	5	1	0	10	1	0
Gm6161	0	0	1	0	0	6	0	0	0	0	0	1	0	1	1	2	2	2
Vxn	1	2	0	0	0	0	0	0	0	0	0	1	4	2	1	2	2	0
Gm29520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mybl1	26	46	32	16	41	46	6	9	0	37	226	152	26	35	62	61	44	37
Vcpip1	798	1015	520	356	548	487	358	1018	563	702	1219	980	880	1082	1040	1028	997	894
1700034P13Rik	21	15	19	10	18	0	17	3	16	10	12	12	10	25	7	12	10	15
Sgk3	46	91	55	39	57	75	70	61	48	50	130	149	57	85	55	79	96	75
Gm6195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mcmdc2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	1
Snhg6	85	80	274	140	267	241	317	142	253	79	240	310	110	137	160	153	117	146
Snord87	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
Tcf24	401	445	361	264	557	797	447	991	385	409	740	630	464	607	582	453	522	503
E330040D14Rik	1	0	0	7	4	0	4	0	0	0	0	14	3	5	1	1	4	1
Ppp1r42	0	0	0	0	0	0	0	0	0	0	0	0	3	4	2	4	1	5
Gm15818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm24674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cops5	785	861	1304	1196	1681	1286	1461	1109	1556	968	1189	1529	874	1047	1088	1120	866	938
Cspp1	238	223	233	139	230	211	221	228	273	196	386	490	283	313	361	413	274	222
1700047N06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arfgef1	6493	7267	6031	4094	5132	4636	4417	9708	6618	6494	11158	9697	7724	9331	7167	7260	7171	6549
Gm26348	0	1	0	0	0	0	9	0	0	0	4	2	0	0	3	4	1	2
Gm37569	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
Cpa6	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0
Gm38005	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm25253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm15603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28659	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm22963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prex2	7	12	0	1	14	6	14	0	27	19	3	1	1	11	22	15	9	15
Gm24173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm28686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A830018L16Rik	0	2	0	3	0	0	0	0	0	0	3	1	4	2	0	0	0	0
Gm38178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm7560	5	0	0	4	12	32	3	11	0	3	5	2	6	0	1	2	5	8
Gm22633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mir6341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm2383	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Gm6216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm17644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sulf1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	1
Slco5a1	0	7	1	6	0	11	3	0	3	8	0	3	3	0	11	11	8	9
Gm37162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm5250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Prdm14	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0
Ncoa2	1498	1655	2684	2584	1811	1836	2275	3095	2663	2432	1824	1829	1782	2268	1422	1562	1602	1539
Gm38376	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0
Gm37409	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
Gm27881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm37702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Gm23169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm38120	0	0	0	0	0	0	0	0	0	0	3	0	3	1	0	0	0	0
Gm38380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Gm29570	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
Gm7593	0	4	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0
